id;categories;visible;mainpage;order;date;title_it;title_en;title_fr;articleUrl;video_type;video_id;video_src;thumbnail_url;thumbnail_fallbackGradient
la-satira-dopo-charlie-hebdo-doaa-el-adl-disegnatrice-egiziana-il-blog-di-vita;longform-reportage;;;62;12/01/2016;La satira dopo Charlie Hebdo: Doaa El Adl disegnatrice egiziana, il blog di vita;La satira dopo Charlie Hebdo: Doaa El Adl disegnatrice egiziana, il blog di vita;La satira dopo Charlie Hebdo: Doaa El Adl disegnatrice egiziana, il blog di vita;;;;;http://blog.vita.it/ilmondodelledonne/files/2016/01/charlie-hebdo-un-an-apre%CC%80s.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
donne-e-icone-di-steve-mccurry-a-forli-il-blog-di-vita;longform-reportage;;;63;12/01/2016;Donne e icone di Steve McCurry a Forlì il blog di vita;Donne e icone di Steve McCurry a Forlì il blog di vita;Donne e icone di Steve McCurry a Forlì il blog di vita;;;;;http://blog.vita.it/ilmondodelledonne/files/2015/12/ragazza-afgana.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
marocco-apre-la-piu-grande-centrale-solare-termodinamica-del-mondo;longform-reportage;;;64;12/01/2016;Marocco: apre la più grande centrale solare termodinamica del mondo;Marocco: apre la più grande centrale solare termodinamica del mondo;Marocco: apre la più grande centrale solare termodinamica del mondo;;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
retata-continua;longform-reportage;;;65;13/01/2016;Retata Continua;Retata Continua;Retata Continua;;;;;http://nawartpr.yanchware.com/wp-content/uploads/2016/01/12246934_728420047302977_6931390516874301705_n.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
seguire-le-piste-arabe-al-ritmo-della-techno-hadra;longform-reportage;;;66;18/01/2016;Seguire le piste arabe al ritmo della techno Hadra;Seguire le piste arabe al ritmo della techno Hadra;Seguire le piste arabe al ritmo della techno Hadra;;;;;http://nawartpr.yanchware.com/wp-content/uploads/2016/01/IMG-20160115-WA0002.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
leuropa-promessa;migration-displacement;;;67;08/02/2016;"L'""Europa Promessa""";"L'""Europa Promessa""";"L'""Europa Promessa""";http://www.nawartpress.com/?p=2886;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
1000-donne-per-la-pace;longform-reportage;;;68;09/02/2016;1000 donne per la pace;1000 donne per la pace;1000 donne per la pace;http://www.nawartpress.com/?p=2895;;;;http://blog.vita.it/ilmondodelledonne/files/2016/02/carovana.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
unione-africana-burundi-cpi-e-parita-di-genere;longform-reportage;;;69;09/02/2016;Unione Africana: Burundi, CPI e… parità di genere;Unione Africana: Burundi, CPI e… parità di genere;Unione Africana: Burundi, CPI e… parità di genere;http://www.nawartpress.com/?p=2892;;;;http://blog.vita.it/ilmondodelledonne/files/2016/02/african_union_gender_pre-summit_on_2016_african_year_of_human_rights_with_particular_focus_on_the_rights_of_women_17_-_21_january_2016_0.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
8-mars-le-difficile-metier-de-femme-au-kazakhstan;longform-reportage;;;70;08/03/2016;;;8 mars: Le difficile métier de « femme » au Kazakhstan;http://www.nawartpress.com/;;;;http://www.choisir.ch/images/societe/Gulnara_Utegalieva.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
i-nuovi-desaparecidos-dalla-tunisia-in-italia-come-profughi-poi-spariti-nel-silenzio;migration-displacement;;;71;04/05/2016;I nuovi desaparecidos. Dalla Tunisia in Italia come profughi. Poi spariti nel silenzio;I nuovi desaparecidos. Dalla Tunisia in Italia come profughi. Poi spariti nel silenzio;I nuovi desaparecidos. Dalla Tunisia in Italia come profughi. Poi spariti nel silenzio;http://www.nawartpress.com/?p=3047;;;;http://i.static.vita.it/blobs/full/2/5/e/6/25e660b5-7528-4f84-aff5-40d3e12cd8f7.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
i-turisti-della-sanita;longform-reportage;;;72;23/05/2016;I TURISTI DELLA SANITÀ;I TURISTI DELLA SANITÀ;I TURISTI DELLA SANITÀ;http://www.nawartpress.com/?p=3062;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
la-galaxie-dextreme-droite-autours-du-fn;longform-reportage;;;73;21/12/2016;;;La galaxie d'extrême droite autour du FN;http://www.nawartpress.com/?p=3274;;;;https://www.choisir.ch/images/2016/Politique_internationale/schema_2016_siteLaHorde.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
gli-ottomila-salvati-a-pasqua-diario-di-bordo-di-una-missione-di-salvataggio-open-migration;migration-displacement;;;74;03/05/2017;Gli ottomila salvati a Pasqua: diario di bordo di una missione di salvataggio Open Migration;The eight thousand migrants saved at Easter: logbook of a rescue mission;Gli ottomila salvati a Pasqua: diario di bordo di una missione di salvataggio Open Migration;http://www.nawartpress.com/?p=3459;;;;http://www.nawartpress.com/wp-content/uploads/2017/05/iuventa-55-di-81.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
from-jugend-rettets-iuventa-in-the-libyan-sar-zone;migration-displacement;;;75;09/05/2017;Dalla Iuventa, barca dell'ONG Jugend Rettet nella SAR zone libica;From Jugend Rettet's Iuventa - in the Libyan SAR zone;Depuis le Iuventa, dans la SAR zone libyenne;http://www.nawartpress.com/it/gli-ottomila-salvati-a-pasqua-diario-di-bordo-di-una-missione-di-salvataggio-open-migration/;;;;http://www.nawartpress.com/wp-content/uploads/2017/05/iuventa-18-di-81-1.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
debate-on-violence-against-women-in-tunisia;longform-reportage;;;76;17/05/2017;???? ??? ?????? ????? ?? ?????? ?? ????;Debate on Violence Against Women in Tunisia;La violence contre les femmes en débat en Tunisie;http://orientxxi.info/langue_en;;;;http://www.nawartpress.com/wp-content/uploads/2017/05/reunion-de-travail.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
i-pescatori-tunisini-che-danno-sepoltura-ai-migranti-senza-nome-openmigration;migration-displacement;;;77;02/06/2017;I pescatori tunisini che danno sepoltura ai migranti senza nome - OPENMIGRATION;I pescatori tunisini che danno sepoltura ai migranti senza nome - OPENMIGRATION;I pescatori tunisini che danno sepoltura ai migranti senza nome - OPENMIGRATION;http://www.nawartpress.com/?p=3534;;;;http://www.nawartpress.com/wp-content/uploads/2017/06/20.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
il-rif-si-alza-marocco;longform-reportage;;;78;09/06/2017;IL RIF SI ALZA - Marocco;IL RIF SI ALZA - Marocco;IL RIF SI ALZA - Marocco;http://www.nigrizia.it/notizia/la-protesta-infiamma-il-rif;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
sar-zone-a-la-recherche-de-vies-a-sauver-en-mediterranee-inkyfada;migration-displacement;;;79;09/06/2017;;;SAR ZONE: A LA RECHERCHE DE VIES À SAUVER EN MÉDITERRANÉE - INKYFADA;http://www.nawartpress.com/?p=3539;;;;http://www.nawartpress.com/wp-content/uploads/2017/06/inkyfada-1-di-7.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
tra-i-pescatori-di-zarzis-che-respingono-gli-xenofobi;migration-displacement;;;80;18/09/2017;Tra i pescatori di Zarzis che respingono gli xenofobi;Tra i pescatori di Zarzis che respingono gli xenofobi;Tra i pescatori di Zarzis che respingono gli xenofobi;http://www.nawartpress.com/?p=3680;;;;http://www.nawartpress.com/wp-content/uploads/2017/09/left-2.png;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
calais-non-e-finita;migration-displacement;;;81;12/10/2017;Calais, non è finita!;Calais, non è finita!;Calais, c’est pas fini !;http://www.nawartpress.com/?p=3698;;;;http://www.nawartpress.com/wp-content/uploads/2017/10/IMG-20170115-WA0001-1.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
per-daphne-caruana-galizia;longform-reportage;;;82;17/10/2017;Per Daphne Caruana Galizia;Per Daphne Caruana Galizia;Per Daphne Caruana Galizia;http://www.nawartpress.com/?p=3715;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
collusione-nave-militare-tunisina-e-barcone-29-morti-accertati-ancora-molti-dispersi;migration-displacement;;;83;17/10/2017;Collusione nave militare tunisina e barcone: 29 morti accertati, ancora molti dispersi;Collusione nave militare tunisina e barcone: 29 morti accertati, ancora molti dispersi;Collusione nave militare tunisina e barcone: 29 morti accertati, ancora molti dispersi;http://www.nawartpress.com/?p=3706;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
i-pescatori-tunisini-che-salvano-i-migranti;migration-displacement;;;84;27/10/2017;I pescatori tunisini che salvano i migranti;I pescatori tunisini che salvano i migranti;I pescatori tunisini che salvano i migranti;http://www.nawartpress.com/?p=3724;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
we-are-afraid-to-see-the-dead-tunisian-fishermen-on-frontline-of-migrant-tragedy;migration-displacement;;;85;03/11/2017;'We are afraid to see the dead': Tunisian fishermen on frontline of migrant tragedy;'We are afraid to see the dead': Tunisian fishermen on frontline of migrant tragedy;'We are afraid to see the dead': Tunisian fishermen on frontline of migrant tragedy;http://www.middleeasteye.net/news/msf-suspends-migrant-rescues-mediterranean-2133227521;;;;http://www.middleeasteye.net/sites/default/files/styles/main_image_article_page/public/Sardine%20Fishing%202.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
le-cimetiere-des-inconnus-echoues-a-zarzis;migration-displacement;;;86;04/11/2017;;;Le cimetière des inconnus échoués à Zarzis;http://www.nawartpress.com/?p=3739;;;;https://www.choisir.ch/images/2017/Societe/Giulia_Zarzis2.jpeg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
sciopero-femminista-8-marzo;longform-reportage;;;87;09/03/2018;Sciopero Femminista 8 marzo;Sciopero Femminista 8 marzo;Sciopero Femminista 8 marzo;http://www.nawartpress.com/?p=3858;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
un-mondo-di-donne-raistoria;documentary-films;;;14;03/11/2015;UN MONDO DI DONNE - RAISTORIA;UN MONDO DI DONNE - RAISTORIA;UN MONDO DI DONNE - RAISTORIA;;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
trono-di-sale-marocco;documentary-films;;;16;01/11/2016;Trono di Sale - Marocco;Trono di Sale - Marocco;Trono di Sale - Marocco;http://www.nawartpress.com/?p=3260;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
bnp-award-and-special-mention-of-the-jury-to-strange-fish-visioni-dal-mondo;documentary-films;;;23;20/09/2018;Premio BNP e menzione speciale della giuria a Strange Fish - Visioni dal Mondo;BNP award and special mention of the jury to Strange Fish - Visioni Dal Mondo;Prix BNP et mention spéciale du jury au Visioni dal Mondo pour Strange Fish;http://www.nawartpress.com/?p=4029;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
thats-interesting;TODO;;;1;05/03/2015;Dal 15 marzo su Crowdfunding!;Dal 15 marzo su Crowdfunding!;Dal 15 marzo su Crowdfunding!;http://www.nawartpress.com/projects/;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
118-libri-in-viaggio-letterario-con-nawart-press;TODO;;;2;06/03/2015;118 Libri in viaggio letterario con Nawart Press;"The ER of Literature ""118 Libri"" will follow Nawart Press with a literary journey";"Première Urgence Litteraire ""118 Libri"" suivra Nawart Press en voyage litteraire";http://www.nawartpress.com/?p=917;;;;http://www.nawartpress.com/wp-content/uploads/2015/03/118libri-logo1.png;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
crowdfunding;TODO;;;3;07/03/2015;Crowdfunding;Crowdfunding;Crowdfunding;http://www.nawartpress.com/thats-interesting/;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
donne-al-centro-per-l8-marzo;TODO;;;4;07/03/2015;Donne al Centro per l'8 marzo;Donne al Centro per l'8 marzo;Donne al Centro per l'8 marzo;http://www.nawartpress.com/donne-al-centro/;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
campagna-crowdfunding-the-railway-diaries;multimedia-projects;;;5;24/03/2015;Campagna Crowdfunding The Railway Diaries;Campagna Crowdfunding The Railway Diaries;Campagna Crowdfunding The Railway Diaries;http://www.nawartpress.com/il-crowdfunding-del-progetto-the-railway-diaries-su-becrowdy/;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
il-crowdfunding-del-progetto-the-railway-diaries-su-becrowdy;multimedia-projects;;;6;24/03/2015;Il crowdfunding del progetto The Railway Diaries su BeCrowdy;Il crowdfunding del progetto The Railway Diaries su BeCrowdy;Il crowdfunding del progetto The Railway Diaries su BeCrowdy;http://www.nawartpress.com/projects/;;;;http://www.nawartpress.com/wp-content/uploads/2015/03/therailwaydiaries-becrowdy.jpg;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
de-vos-propres-yeux-s6;documentary-films, multimedia-projects;;;1;01/01/2021;De Vos Propres Yeux - Stagione 6;De Vos Propres Yeux - Season 6;De Vos Propres Yeux - Saison 6;;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
living-in-kharkivs-metro;conflict-zones;;;1;01/01/2022;Vivere nella metro di Kharkiv;Living in Kharkiv's Metro;Vivre dans le métro de Kharkiv;;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
syria-12-years-of-war-cholera;conflict-zones;;;2;01/01/2023;Siria: 12 anni di guerra + Colera;Syria: 12 Years of War + Cholera;Syrie : 12 ans de guerre + Choléra;;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
caminantes-venezuelan-exodus;migration-displacement;;;1;01/01/2021;Caminantes: Esodo Venezuelano;Caminantes: Venezuelan Exodus;Caminantes : Exode Vénézuélien;;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
ukraine-displaced-persons-west;migration-displacement;;;2;01/01/2022;Ucraina: Sfollati verso Ovest;Ukraine: Displaced Persons West;Ukraine : Personnes déplacées vers l'Ouest;;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
photoclimat-2023-2025;multimedia-projects;;;1;01/01/2023;PhotoClimat 2023 & 2025 (Coordinamento);PhotoClimat 2023 & 2025 (Coordination);PhotoClimat 2023 & 2025 (Coordination);;;;;;linear-gradient(135deg, #E5DDD4 0%, #FAF8F5 100%)
